#Time(secs)	BW0	BW1	BW2	Total(kbps)
5.201004	0	0	0	0
10.000737	1712	434	19	2167
20.000337	4753	3560	639	8952
30.000561	4690	3040	1063	8794
40.001089	4675	3045	1093	8814
50.000033	4633	3034	1097	8765
60.001041	4554	3012	1097	8664
70.001185	4547	3023	1117	8688
80.000161	4580	3053	1129	8763
90.000817	4549	3054	1138	8742
100.001185	4484	3033	1146	8664
110.000257	4446	3025	1157	8628
120.000561	4450	3041	1166	8658
130.001025	4406	3032	1173	8613
140.001137	4385	3029	1179	8594
150.000561	4362	3072	1202	8637
160.000993	4342	3138	1225	8706
170.000129	4281	3187	1241	8710
180.000209	4206	3224	1260	8691
190.000289	4142	3263	1281	8687
200.001697	4129	2835	1668	8633
210.001169	4222	2812	1691	8727
220.003393	4182	2810	1685	8677
230.000449	4188	2828	1669	8686
240.001137	4166	2825	1674	8666
250.000065	4077	2791	1661	8530
260.000017	4081	2803	1654	8539
270.000193	4150	2856	1669	8676
280.000689	4147	2865	1673	8685
290.001121	4160	2886	1678	8725
300.000065	4163	2896	1678	8738
310.000241	4132	2895	1677	8705
320.000801	4100	2880	1673	8654
330.001073	4593	2549	1515	8659
340.000593	5751	1978	994	8725
350.000801	5553	2068	1008	8630
360.000785	5435	2139	1040	8615
370.000145	5314	2226	1062	8603
380.000449	5273	2324	1095	8693
390.000945	5251	2427	1124	8803
400.000177	5204	2526	1149	8880
410.001073	5008	2554	1163	8726
420.000305	4958	2636	1190	8785
430.000449	4911	2724	1218	8855
440.000817	4838	2788	1237	8864
450.000961	4787	2867	1265	8919
460.001121	4677	2908	1282	8868
470.000449	4595	2957	1296	8850
480.000561	4457	2981	1309	8747
490.000705	4444	3055	1334	8834
500.001137	4324	3071	1350	8746
510.000801	4247	3114	1360	8721
520.000657	4171	3147	1379	8697
530.000929	4382	3031	1229	8643
540.000161	4682	2932	964	8580
550.001025	4698	2943	971	8613
560.001105	4661	2960	990	8611
570.000177	4650	2967	994	8613
580.000193	4594	2957	1012	8564
590.000145	4622	2993	1027	8642
600.000769	4598	2999	1040	8638
610.000689	4636	3032	1060	8729
620.000769	4650	3062	1071	8784
630.000881	4606	3048	1086	8741
640.001089	4578	3054	1094	8727
650.000129	4562	3074	1108	8746
660.001089	4505	3131	1129	8767
670.000033	4496	3212	1161	8870
680.000881	4398	3240	1174	8814
690.001121	4325	3280	1193	8798
700.000321	4263	3324	1210	8797
710.000369	187	6835	1760	8782
720.000193	0	7000	1818	8818
730.000417	0	6866	1860	8726
740.000193	0	6800	1906	8706
750.000529	0	6697	1947	8644
760.000609	0	6586	1982	8569
770.000753	0	6565	2036	8602
780.000801	0	6587	2088	8676
790.000753	0	6549	2136	8685
800.000257	0	6534	2183	8717
810.000753	0	6491	2234	8725
820.000817	0	6426	2269	8695
830.000145	0	6342	2308	8651
840.000177	0	6344	2360	8705
850.001777	0	6267	2396	8664
860.000593	0	6256	2445	8702
870.000689	0	6281	2500	8781
880.005563	0	2979	2917	5897
890.000494	0	0	3207	3207
900.005968	0	0	3297	3297
910.000718	0	0	3400	3400
920.003095	0	0	3479	3479
930.004141	0	0	3556	3556
940.001191	0	0	3594	3594
950.003365	0	0	3658	3658
960.002679	0	0	3788	3788
970.002195	0	0	3867	3867
980.002157	0	0	3922	3922
990.003828	0	0	3993	3993
1000.000820	0	0	4041	4041
1010.011776	0	0	4169	4169
1020.000625	0	0	4233	4233
1030.001126	0	0	4309	4309
1040.001205	0	0	4391	4391
1050.001276	0	0	4435	4435
1060.002398	0	0	4516	4516
1070.000593	0	0	4621	4621
1080.000302	0	0	4699	4699
1090.000131	0	0	4777	4777
1100.001573	0	0	4833	4833
1110.000189	0	0	4875	4875
1120.000583	0	0	5001	5001
1130.000001	0	0	5090	5090
1140.000472	0	0	5166	5166
1150.000581	0	0	5204	5204
1160.000001	0	0	5267	5267
1170.000216	0	0	5373	5373
1180.001106	0	0	5480	5480
1190.000905	0	0	5557	5557
1200.000018	0	0	5580	5580
1210.001121	0	0	5659	5659
1220.000610	0	0	5742	5742
1230.000802	0	0	5865	5865
1240.001123	0	0	5942	5942
1250.000922	0	0	5958	5958
1260.000243	0	0	6048	6048
1270.000082	0	0	6130	6130
1280.004162	0	0	6241	6241
