#Time	BytesACKed
5.844078	1500
10.003108	2836500
20.000308	14793000
30.005268	27130500
40.002260	39228000
50.007140	51253500
60.002212	63252000
70.003492	75144000
80.002532	87147000
90.003188	99166500
100.004692	111109500
110.003796	123027000
120.001668	134902500
130.002196	146733000
140.004708	158559000
150.000532	170427000
160.003364	182365500
170.000100	194319000
180.000084	206221500
190.000260	218124000
200.001813	230032500
210.000756	242088000
220.002164	253981500
230.000324	265914000
240.001108	277812000
250.001236	289576500
260.003588	301335000
270.000164	313221000
280.001860	325126500
290.001092	337089000
300.001236	349051500
310.000212	360973500
320.003172	372861000
330.002244	384733500
340.001764	396691500
350.000740	408562500
360.000756	420376500
370.002452	432201000
380.001620	444112500
390.001924	456193500
400.000052	468367500
410.002244	480370500
420.000276	492433500
430.000420	504550500
440.003156	516696000
450.003332	528906000
460.003524	541117500
470.001620	553267500
480.006532	565377000
490.004276	577449000
500.002308	589452000
510.006740	601495500
520.001828	613387500
530.002100	625213500
540.000132	637048500
550.003428	648801000
560.003476	660601500
570.000148	672445500
580.002500	684171000
590.003716	696013500
600.000740	707871000
610.000596	719790000
620.003140	731835000
630.003252	743821500
640.005860	755757000
650.000036	767731500
660.001060	779779500
670.002404	791893500
680.000884	804144000
690.001092	816180000
700.002692	828235500
710.000792	839572500
720.000915	851488500
730.003539	863617500
740.004515	875688000
750.000019	887751000
760.002531	899715000
770.000307	911626500
780.000355	923494500
790.000307	935364000
800.000819	947440500
810.003907	959395500
820.001507	971350500
830.000899	983277000
840.002163	995250000
850.001331	1007113500
860.000147	1019014500
870.003779	1031097000
880.000323	1043206500
890.004205	1051419000
900.002373	1055715000
910.008495	1060047000
920.007956	1064520000
930.002678	1069137000
940.009545	1073767500
950.002865	1078356000
960.006559	1082944500
970.004909	1087554000
980.010055	1092159000
990.005874	1096752000
1000.000620	1101403500
1010.002865	1106041500
1020.003116	1110655500
1030.005542	1115311500
1040.000990	1119931500
1050.008100	1124608500
1060.001000	1129173000
1070.006174	1133836500
1080.002857	1138471500
1090.010135	1143096000
1100.009745	1147744500
1110.001255	1152282000
1120.006139	1156831500
1130.001852	1161427500
1140.001255	1166055000
1150.000895	1170853500
1160.003047	1175439000
1170.002952	1179964500
1180.003579	1184646000
1190.004507	1189413000
1200.009518	1194160500
1210.001206	1198918500
1220.003324	1203445500
1230.004955	1208133000
1240.000829	1212909000
1250.003324	1217620500
1260.002316	1222225500
1270.000829	1226781000
1280.009619	1231375500
1290.000881	1236009000
1300.005195	1240618500
1310.008132	1245208500
1320.000881	1249731000
1330.002895	1254411000
1340.002123	1259158500
1350.003441	1263751500
1360.002895	1268382000
1370.001318	1272955500
1380.003441	1277590500
1390.003616	1282251000
1400.001966	1286844000
1410.000910	1291479000
1420.004905	1296081000
1430.006153	1300644000
1440.001740	1305262500
1452.099325	1305759000
1460.001157	1305828000
1470.430251	1305853500
1480.680896	1305900000
1490.001848	1306102500
1500.730844	1306276500
1510.978327	1306333500
1520.067815	1306395000
1530.736342	1306467000
1540.103738	1306498500
1550.242934	1306573500
1560.399468	1306671000
1570.051444	1306734000
1580.678144	1306809000
1590.114994	1306857000
1600.264463	1306951500
1611.062695	1307043000
1620.411492	1307076000
1631.865816	1307146500
1640.005371	1307247000
1650.713887	1307386500
1660.084886	1307461500
1670.500182	1307530500
1681.881359	1307571000
1690.406336	1307599500
1700.012341	1307641500
1710.048447	1307772000
1720.527678	1307875500
1734.979961	1307919000
1740.542552	1307974500
1751.153723	1308066000
1762.319227	1308099000
1771.731569	1308151500
1781.948440	1308196500
1790.356598	1308265500
1800.071985	1308325500
1811.860055	1308439500
1820.048058	1308487500
1830.571539	1308534000
1842.279077	1308619500
1851.816731	1308675000
1860.053324	1308723000
1870.559144	1308810000
1880.072902	1308885000
1892.776950	1308952500
1901.572087	1309026000
1910.011453	1309086000
1922.911947	1309167000
1931.678454	1309231500
1940.073667	1309287000
1950.442388	1309309500
1962.868982	1309378500
1971.113889	1309450500
1984.167151	1309528500
1990.007280	1309584000
