#Time(secs)	BW0	BW1	BW2	Total
5.201004	0	0	0	0
10.000737	227322	57670	2628	287620
20.000337	630866	472602	84826	1188294
30.000561	625172	403690	138408	1167270
40.001089	620208	404566	145124	1169898
50.000033	615098	402960	145416	1163474
60.001041	604586	399748	145708	1150042
70.001185	603418	401500	148336	1153254
80.000161	607798	405296	149942	1163036
90.000817	604148	405004	151402	1160554
100.002385	595388	402814	151840	1150042
110.000257	590424	401500	153300	1145224
120.000561	590424	403690	155052	1149166
130.001025	585314	402522	155490	1143326
140.001137	581664	402084	156804	1140552
150.000561	579474	407632	159286	1146392
160.000993	576262	416976	162352	1155590
170.001329	568232	423108	164834	1156174
180.000209	558450	427780	167316	1153546
190.000289	550128	433036	169944	1153108
200.000497	616558	399164	130378	1146100
210.002369	633202	406902	118260	1158364
220.000993	624588	405296	121764	1151648
230.000449	624296	406172	122494	1152962
240.001137	618310	406318	125560	1150188
250.000065	605024	401062	126144	1132230
260.000049	602834	402522	128188	1133544
270.000193	611448	409092	131108	1151648
280.000689	610134	409822	133152	1153108
290.001121	610718	412450	134758	1157926
300.000065	609842	413180	136948	1159970
310.000241	604294	412742	138116	1155152
320.002001	594950	413618	140306	1148874
330.001073	586628	420772	142934	1150334
340.000593	582394	429532	146000	1157926
350.000801	567210	430992	148044	1146246
360.000785	556844	436540	150234	1143618
370.001313	660942	312294	167316	1140552
380.000449	698610	281634	173302	1153546
390.000945	695106	294920	178412	1168438
400.000177	688682	307914	182062	1178658
410.001073	663424	311856	182938	1158218
420.001505	655832	323828	186442	1166102
430.000449	650284	334924	190092	1175300
440.000817	640356	343830	192428	1176614
450.000961	633640	354196	196078	1183914
460.001121	619186	360182	197684	1177052
470.000449	607798	367044	199874	1174716
480.000561	589840	370548	200604	1160992
490.000705	587796	380184	204546	1172526
500.001137	571736	383542	205568	1160846
510.000801	561808	388652	207174	1157634
520.000657	551880	393470	209072	1154422
530.000929	541076	365000	241630	1147706
540.000161	531878	330982	275940	1138800
550.001025	535236	337698	270392	1143326
560.001105	535236	338720	268786	1142742
570.000177	534360	342078	267180	1143618
580.000193	529542	342662	264114	1136318
590.000145	535382	346750	265136	1147268
600.000769	533776	348794	263968	1146538
610.000689	539616	353904	264844	1158364
620.000769	543266	357992	264844	1166102
630.000881	539324	357554	263238	1160116
640.001089	536696	358722	263092	1158510
650.000097	537864	360620	262070	1160554
660.001089	540638	364124	259296	1164058
670.000033	632180	317404	227030	1176614
680.000945	766062	256522	146730	1169314
690.001153	746206	267764	154030	1168000
700.000321	730146	279444	158264	1167854
710.002724	304118	596264	210970	1111352
720.001039	0	893374	251704	1145078
730.000031	0	905054	252872	1157926
740.001007	0	901550	254186	1155736
750.000143	0	892644	255062	1147706
760.000223	0	881402	255646	1137048
770.000335	0	884614	257398	1142012
780.000383	0	891476	260464	1151940
790.000335	0	888848	263968	1152816
800.001071	0	886658	270392	1157050
810.000335	0	881256	276670	1157926
820.000399	0	872058	282218	1154276
830.000927	0	860670	287766	1148436
840.000959	0	860962	294482	1155444
850.000159	0	850304	299446	1149750
860.000175	0	849136	306016	1155152
870.000271	0	852056	313462	1165518
880.000351	0	854538	320178	1174716
890.000794	0	414202	367190	781392
900.007168	0	0	409238	409238
910.001670	0	0	422524	422524
920.001823	0	0	433036	433036
930.001164	0	0	442380	442380
940.001191	0	0	439898	439898
950.007341	0	0	436540	436540
960.003845	0	0	443256	443256
970.002195	0	0	443256	443256
980.007341	0	0	443548	443548
990.003403	0	0	440044	440044
1000.006460	0	0	436832	436832
1010.004810	0	0	442672	442672
1020.000402	0	0	443256	443256
1030.001126	0	0	443402	443402
1040.002823	0	0	441358	441358
1050.000447	0	0	436248	436248
1060.003598	0	0	442380	442380
1070.002086	0	0	443256	443256
1080.001798	0	0	442964	442964
1090.003425	0	0	443548	443548
1100.001793	0	0	435956	435956
1110.005829	0	0	440628	440628
1120.004179	0	0	443256	443256
1130.000338	0	0	443402	443402
1140.000143	0	0	443110	443110
1150.000581	0	0	437708	437708
1160.006971	0	0	438876	438876
1170.005381	0	0	443548	443548
1180.001144	0	0	443110	443110
1190.001793	0	0	443402	443402
1200.001315	0	0	439168	439168
1210.001098	0	0	437854	437854
1220.003892	0	0	442818	442818
1230.002241	0	0	443256	443256
1240.006135	0	0	443548	443548
1250.000610	0	0	440628	440628
1260.002241	0	0	436540	436540
1270.004113	0	0	442672	442672
1280.000083	0	0	443402	443402
1290.003841	0	0	442818	442818
1300.000181	0	0	442672	442672
1310.000552	0	0	436102	436102
1320.000812	0	0	441358	441358
1330.000181	0	0	443256	443256
1340.006254	0	0	443256	443256
1350.000727	0	0	443256	443256
1360.000490	0	0	436832	436832
1370.003002	0	0	439752	439752
1380.005367	0	0	443548	443548
1390.002380	0	0	443256	443256
1400.003937	0	0	443256	443256
1410.000091	0	0	438146	438146
1420.002191	0	0	438438	438438
1430.003440	0	0	443256	443256
1440.001789	0	0	443256	443256
