#Time(secs)	BW0	BW1	BW2	Total(kbps)
5.201004	0	0	0	0
10.000737	1712	434	19	2167
20.000337	4753	3560	639	8952
30.000561	4710	3041	1042	8794
40.001089	4672	3048	1093	8814
50.000033	4634	3036	1095	8765
60.001041	4555	3011	1097	8664
70.001185	4546	3025	1117	8688
80.000161	4579	3053	1129	8762
90.000817	4551	3051	1140	8743
100.002385	4485	3034	1144	8664
110.000257	4448	3025	1155	8628
120.000561	4448	3041	1168	8658
130.001025	4409	3032	1171	8614
140.001137	4382	3029	1181	8593
150.000561	4365	3071	1200	8637
160.000993	4341	3141	1223	8706
170.001329	4281	3187	1241	8710
180.000209	4207	3223	1260	8691
190.000289	4144	3262	1280	8687
200.000497	4645	3007	982	8635
210.002369	4770	3065	891	8727
220.000993	4705	3053	917	8676
230.000449	4703	3060	922	8686
240.001137	4658	3061	946	8665
250.000065	4558	3021	950	8530
260.000049	4541	3032	965	8540
270.000193	4606	3082	987	8676
280.000689	4596	3087	1003	8687
290.001121	4601	3107	1015	8724
300.000065	4594	3113	1031	8739
310.000241	4552	3109	1040	8703
320.002001	4482	3116	1057	8655
330.001073	4419	3170	1076	8666
340.000593	4387	3236	1100	8724
350.000801	4273	3247	1115	8636
360.000785	4195	3289	1131	8616
370.001313	4979	2352	1260	8593
380.000449	5263	2121	1305	8691
390.000945	5237	2222	1344	8803
400.000177	5188	2319	1371	8880
410.001073	4998	2349	1378	8726
420.001505	4941	2439	1404	8785
430.000449	4899	2523	1432	8855
440.000817	4824	2590	1449	8864
450.000961	4774	2668	1477	8919
460.001121	4665	2713	1489	8868
470.000449	4579	2765	1505	8850
480.000561	4444	2791	1511	8747
490.000705	4428	2864	1541	8834
500.001137	4307	2889	1548	8746
510.000801	4232	2928	1560	8721
520.000657	4158	2964	1575	8697
530.000929	4076	2750	1820	8647
540.000161	4007	2493	2079	8580
550.001025	4032	2544	2037	8614
560.001105	4032	2552	2025	8609
570.000177	4026	2577	2013	8616
580.000193	3989	2581	1989	8561
590.000145	4033	2612	1997	8643
600.000769	4021	2627	1988	8638
610.000689	4065	2666	1995	8727
620.000769	4093	2697	1995	8785
630.000881	4063	2693	1983	8740
640.001089	4043	2702	1982	8728
650.000097	4052	2717	1974	8743
660.001089	4073	2743	1953	8770
670.000033	4763	2391	1710	8864
680.000945	5771	1932	1105	8809
690.001153	5622	2017	1160	8800
700.000321	5501	2105	1192	8798
710.002724	2291	4492	1589	8373
720.001039	0	6730	1896	8627
730.000031	0	6818	1905	8724
740.001007	0	6792	1915	8707
750.000143	0	6725	1921	8647
760.000223	0	6640	1926	8566
770.000335	0	6664	1939	8604
780.000383	0	6716	1962	8679
790.000335	0	6696	1988	8685
800.001071	0	6680	2037	8717
810.000335	0	6639	2084	8724
820.000399	0	6570	2126	8696
830.000927	0	6484	2168	8652
840.000959	0	6486	2218	8705
850.000159	0	6406	2256	8662
860.000175	0	6397	2305	8703
870.000271	0	6419	2361	8781
880.000351	0	6438	2412	8850
890.000794	0	3120	2766	5887
900.007168	0	0	3083	3083
910.001670	0	0	3183	3183
920.001823	0	0	3262	3262
930.001164	0	0	3333	3333
940.001191	0	0	3314	3314
950.007341	0	0	3289	3289
960.003845	0	0	3339	3339
970.002195	0	0	3339	3339
980.007341	0	0	3341	3341
990.003403	0	0	3315	3315
1000.006460	0	0	3291	3291
1010.004810	0	0	3335	3335
1020.000402	0	0	3339	3339
1030.001126	0	0	3340	3340
1040.002823	0	0	3325	3325
1050.000447	0	0	3286	3286
1060.003598	0	0	3333	3333
1070.002086	0	0	3339	3339
1080.001798	0	0	3337	3337
1090.003425	0	0	3341	3341
1100.001793	0	0	3284	3284
1110.005829	0	0	3319	3319
1120.004179	0	0	3339	3339
1130.000338	0	0	3340	3340
1140.000143	0	0	3338	3338
1150.000581	0	0	3297	3297
1160.006971	0	0	3306	3306
1170.005381	0	0	3341	3341
1180.001144	0	0	3338	3338
1190.001793	0	0	3340	3340
1200.001315	0	0	3308	3308
1210.001098	0	0	3298	3298
1220.003892	0	0	3336	3336
1230.002241	0	0	3339	3339
1240.006135	0	0	3341	3341
1250.000610	0	0	3319	3319
1260.002241	0	0	3289	3289
1270.004113	0	0	3335	3335
1280.000083	0	0	3340	3340
1290.003841	0	0	3336	3336
1300.000181	0	0	3335	3335
1310.000552	0	0	3285	3285
1320.000812	0	0	3325	3325
1330.000181	0	0	3339	3339
1340.006254	0	0	3339	3339
1350.000727	0	0	3339	3339
1360.000490	0	0	3291	3291
1370.003002	0	0	3313	3313
1380.005367	0	0	3341	3341
1390.002380	0	0	3339	3339
1400.003937	0	0	3339	3339
1410.000091	0	0	3301	3301
1420.002191	0	0	3303	3303
1430.003440	0	0	3339	3339
1440.001789	0	0	3339	3339
