#Time(secs)	BW0	BW1	BW2	Total(kbps)
5.201004	0	0	0	0
10.000737	1712	434	19	2167
20.000337	3559	4585	818	8963
30.001601	2607	4085	2101	8793
40.001089	2682	4072	2063	8818
50.001169	2711	4028	2021	8761
60.000945	2721	3966	1982	8670
70.001121	2764	3960	1958	8682
80.001361	4107	3216	1431	8754
90.000817	4651	2927	1161	8740
100.001185	4560	2899	1200	8660
110.000257	4525	2904	1204	8633
120.000561	4522	2920	1214	8657
130.001025	4475	2918	1216	8610
140.001137	4449	2919	1229	8598
150.000561	4457	2938	1239	8635
160.001025	4482	2972	1251	8706
170.000161	4423	3011	1274	8709
180.000241	4350	3053	1288	8692
190.000321	4282	3100	1306	8690
200.000529	4194	3128	1322	8644
210.001137	4343	3295	1085	8725
220.001025	4489	3468	719	8676
230.000417	4419	3526	743	8690
240.001137	4347	3558	759	8664
250.000033	4210	3543	775	8529
260.000049	4154	3589	796	8540
270.000225	4172	3676	825	8673
280.000689	4099	3696	874	8670
290.001121	4321	3246	1158	8726
300.000065	4348	3235	1155	8738
310.000273	4320	3216	1166	8703
320.000801	4293	3199	1161	8654
330.001073	4294	3192	1181	8668
340.000593	4321	3215	1190	8727
350.000801	4258	3175	1199	8632
360.000785	4241	3173	1201	8616
370.000113	4225	3164	1214	8604
380.000449	4264	3198	1226	8690
390.000945	4324	3232	1247	8804
400.000145	4360	3261	1258	8880
410.001073	4263	3208	1257	8729
420.000305	4239	3265	1279	8784
430.000449	4217	3334	1301	8852
440.000785	4173	3371	1320	8864
450.000961	4138	3439	1344	8922
460.001121	4108	2957	1791	8858
470.000481	4161	2928	1756	8846
480.000561	4107	2899	1744	8751
490.000705	4156	2922	1752	8831
500.002337	4101	2911	1734	8748
510.000833	4083	2902	1731	8717
520.000657	4067	2905	1729	8702
530.000929	4042	2902	1721	8666
540.001361	3987	2875	1713	8576
550.001025	4004	2894	1716	8614
560.001105	3995	2897	1717	8609
570.000177	3993	2902	1718	8614
580.000193	4249	3062	1241	8553
590.000145	4499	3224	926	8649
600.000769	4423	3269	940	8632
610.000657	4418	3347	963	8729
620.000769	4381	3411	991	8783
630.000881	4295	3440	1005	8741
640.002289	4225	3476	1026	8727
650.000097	4174	3520	1048	8742
660.001089	4130	3570	1069	8770
670.000033	4130	3646	1092	8869
680.000945	5409	2656	739	8805
690.001153	5618	2512	668	8800
700.000321	5511	2589	698	8798
710.000369	5398	2665	731	8795
720.000097	5317	2751	755	8824
730.000289	5150	2799	781	8730
740.000097	5041	2852	806	8699
750.000561	3740	3945	940	8626
760.000641	0	7307	1262	8570
770.001953	0	7305	1299	8604
780.000801	0	7344	1334	8679
790.000849	0	7324	1359	8684
800.000385	0	7327	1391	8718
810.000849	0	7310	1414	8725
820.000913	0	7256	1439	8696
830.000241	0	7190	1461	8652
840.000273	0	7220	1488	8708
850.000673	0	7156	1507	8663
860.000445	0	4096	1758	5855
870.007376	0	0	2066	2066
880.006981	0	0	2160	2160
890.001731	0	0	2230	2230
900.007376	0	0	2321	2321
910.016793	0	0	2398	2398
920.006915	0	0	2421	2421
930.001791	0	0	2538	2538
940.003035	0	0	2620	2620
950.004565	0	0	2703	2703
960.007445	0	0	2783	2783
970.001113	0	0	2802	2802
980.003557	0	0	2915	2915
990.009642	0	0	3007	3007
1000.004392	0	0	3076	3076
1010.010576	0	0	3161	3161
1020.000946	0	0	3210	3210
1030.001186	0	0	3280	3280
1040.001336	0	0	3335	3335
1050.010126	0	0	3328	3328
1060.000722	0	0	3338	3338
1070.000001	0	0	3330	3330
1080.001798	0	0	3290	3290
1090.003425	0	0	3344	3344
1100.001793	0	0	3324	3324
1110.005829	0	0	3333	3333
1120.000148	0	0	3339	3339
1130.000399	0	0	3289	3289
1140.001798	0	0	3337	3337
1150.000581	0	0	3330	3330
1160.006971	0	0	3326	3326
1170.005381	0	0	3341	3341
1180.001144	0	0	3298	3298
1190.001793	0	0	3327	3327
1200.001315	0	0	3328	3328
1210.005542	0	0	3328	3328
1220.003892	0	0	3341	3341
1230.002255	0	0	3311	3311
1240.006135	0	0	3313	3313
1250.000813	0	0	3333	3333
1260.007785	0	0	3328	3328
1270.014561	0	0	3339	3339
1280.000813	0	0	3319	3319
1290.003841	0	0	3300	3300
1300.000181	0	0	3341	3341
1310.000552	0	0	3325	3325
1320.000812	0	0	3334	3334
1330.002191	0	0	3335	3335
1340.006254	0	0	3293	3293
1350.008744	0	0	3339	3339
1360.000181	0	0	3324	3324
1370.003002	0	0	3330	3330
1380.005367	0	0	3341	3341
1390.000277	0	0	3294	3294
1400.003937	0	0	3331	3331
1410.003841	0	0	3328	3328
1420.002191	0	0	3326	3326
1430.003440	0	0	3344	3344
1440.000091	0	0	3303	3303
1450.007253	0	0	3320	3320
1460.003785	0	0	3330	3330
1470.004032	0	0	3330	3330
1480.000484	0	0	3337	3337
1490.001193	0	0	3315	3315
1500.005739	0	0	3306	3306
1510.007049	0	0	3339	3339
