#Time(secs)	BW0	BW1	BW2	Total(kbps)
5.201004	0	0	0	0
10.000737	1855	295	19	2171
20.000337	7174	1046	742	8962
30.000497	5430	1658	1691	8781
40.001089	5429	1774	1609	8813
50.001169	5326	1839	1601	8767
60.001041	5192	1876	1597	8665
70.001185	5148	1942	1596	8686
80.000161	5152	2007	1604	8764
90.000817	5095	2043	1603	8742
100.001185	4998	2065	1601	8665
110.000257	4934	2091	1601	8627
120.000529	4924	2130	1602	8658
130.002225	4859	2150	1603	8614
140.001137	4814	2174	1604	8594
150.001761	4820	2205	1612	8638
160.000993	5100	1929	1670	8701
170.000129	5650	1312	1746	8709
180.000209	5570	1368	1751	8690
190.000289	5529	1412	1750	8692
200.000497	5446	1452	1746	8644
210.001169	5727	1452	1533	8713
220.000993	6010	1476	1190	8676
230.000449	5909	1582	1194	8686
240.001137	5781	1673	1212	8666
250.000097	5596	1722	1210	8529
260.000049	5533	1793	1216	8542
270.000193	5560	1874	1240	8675
280.000689	5511	1932	1245	8688
290.001121	5479	1983	1260	8723
300.000065	5441	2029	1267	8738
310.001441	5364	2060	1279	8704
320.000801	5286	2088	1280	8655
330.001073	5258	2118	1291	8668
340.000593	5255	2164	1303	8724
350.000801	5162	2169	1304	8636
360.000785	5502	1952	1151	8606
370.001313	6487	1384	730	8603
380.000449	6483	1444	764	8692
390.002145	6504	1516	783	8804
400.000177	6495	1581	803	8880
410.001073	6307	1606	812	8726
420.000305	6289	1662	836	8787
430.000449	6286	1716	850	8852
440.000785	6249	1749	866	8864
450.000961	6627	1632	651	8911
460.001121	6531	1722	614	8869
470.000449	6394	1807	644	8846
480.000561	6211	1871	668	8751
490.000705	6187	1951	693	8831
500.001137	6041	1995	710	8747
510.000865	5946	2039	732	8718
520.000657	5861	2085	754	8702
530.000929	5783	2119	763	8666
540.000161	5656	2136	783	8575
550.002225	5634	2179	800	8614
560.001105	5585	2208	815	8609
570.001120	1609	5694	1226	8530
580.001136	0	7159	1401	8561
590.001088	0	7218	1431	8649
600.000512	0	7181	1455	8637
610.000432	0	7242	1487	8729
620.000512	0	7272	1512	8784
630.000688	0	7207	1534	8741
640.000992	0	7172	1555	8727
650.001072	0	7161	1582	8743
660.000832	0	7173	1604	8778
670.000976	0	7231	1635	8867
680.000688	0	7161	1650	8811
690.000960	0	7131	1669	8801
700.000064	0	7113	1686	8800
710.000112	0	7085	1709	8794
720.001072	0	7099	1725	8825
730.000096	0	6987	1735	8723
740.001072	0	6957	1751	8708
750.000176	0	6889	1757	8647
760.000288	0	6801	1768	8570
770.000496	0	6813	1786	8599
780.000544	0	6868	1810	8679
790.000496	0	6855	1826	8681
800.001136	0	6869	1850	8719
810.000496	0	6870	1856	8727
820.000464	0	6824	1874	8698
830.001088	0	6767	1879	8647
840.001120	0	6813	1899	8713
850.000384	0	6758	1903	8661
860.000400	0	6771	1926	8697
870.000638	0	5596	2207	7804
880.007437	0	0	3137	3137
890.006134	0	0	3278	3278
900.000884	0	0	3355	3355
910.011158	0	0	3434	3434
920.001013	0	0	3473	3473
930.000953	0	0	3501	3501
940.000091	0	0	3659	3659
950.006134	0	0	3745	3745
960.002679	0	0	3823	3823
970.000945	0	0	3854	3854
980.000125	0	0	3895	3895
990.005386	0	0	4018	4018
1000.000685	0	0	4136	4136
1010.000371	0	0	4214	4214
1020.000728	0	0	4221	4221
1030.001696	0	0	4298	4298
1040.000423	0	0	4386	4386
1050.000702	0	0	4517	4517
1060.010426	0	0	4581	4581
1070.000593	0	0	4634	4634
1080.001798	0	0	4687	4687
1090.002225	0	0	4769	4769
1100.005176	0	0	4856	4856
1110.000472	0	0	4973	4973
1120.002225	0	0	5045	5045
1130.000001	0	0	5077	5077
1140.001798	0	0	5130	5130
1150.003839	0	0	5225	5225
1160.000688	0	0	5358	5358
1170.000216	0	0	5439	5439
1180.002063	0	0	5462	5462
1190.000191	0	0	5511	5511
1200.000018	0	0	5611	5611
1210.005542	0	0	5724	5724
1220.001299	0	0	5830	5830
1230.000106	0	0	5839	5839
1240.000515	0	0	5905	5905
1250.000693	0	0	6000	6000
1260.000112	0	0	6091	6091
1270.000698	0	0	6215	6215
1280.001577	0	0	6215	6215
